video_id,timestamp,car_id,car_box,plate_box,transcript,confidence
./data/sample.mp4,0,1.0,"[2172, 1154, 2825, 1738]","[2407, 1551, 2576, 1638]",NV51TSU,0.1885427181738139
./data/sample.mp4,1,1.0,"[2172, 1154, 2825, 1738]","[2407, 1551, 2576, 1638]",NV51TSU,0.17529162878080573
./data/sample.mp4,3,1.0,"[2171, 1163, 2807, 1741]","[2416, 1559, 2584, 1648]",NU51VSU,0.16251497137234006
./data/sample.mp4,6,1.0,"[2174, 1175, 2796, 1750]","[2411, 1566, 2584, 1651]",NO51VSU,0.02680705816116601
./data/sample.mp4,7,1.0,"[2174, 1175, 2794, 1751]","[2411, 1566, 2584, 1651]",NO51VSU,0.02680705816116601
./data/sample.mp4,8,1.0,"[2175, 1178, 2795, 1755]","[2416, 1575, 2587, 1653]",MU51YSU,0.4657960365535266
./data/sample.mp4,8,3.0,"[734, 1394, 1437, 2022]","[947, 1785, 1193, 1889]",NA13MRU,0.36122337932661863
./data/sample.mp4,9,1.0,"[2173, 1181, 2790, 1760]","[2414, 1579, 2589, 1661]",MV53YSU,0.13080076515833566
./data/sample.mp4,9,3.0,"[732, 1396, 1440, 2026]","[939, 1790, 1188, 1892]",NA13NFU,0.3105906654098768
./data/sample.mp4,10,1.0,"[2174, 1183, 2789, 1763]","[2409, 1583, 2586, 1661]",MU51YSU,0.7896368835333635
./data/sample.mp4,11,3.0,"[728, 1401, 1441, 2035]","[959, 1796, 1184, 1896]",MA13NRU,0.3700258094242449
./data/sample.mp4,12,3.0,"[727, 1405, 1444, 2042]","[943, 1802, 1187, 1903]",NA13MRU,0.41998331701963515
./data/sample.mp4,13,1.0,"[2177, 1190, 2796, 1773]","[2417, 1588, 2590, 1673]",MU51YSU,0.2542881409570584
./data/sample.mp4,13,3.0,"[726, 1406, 1445, 2044]","[943, 1802, 1187, 1903]",NA13MRU,0.41998331701963515
./data/sample.mp4,14,3.0,"[721, 1408, 1440, 2049]","[938, 1806, 1184, 1911]",NA13NRU,0.299034117435819
./data/sample.mp4,15,1.0,"[2176, 1193, 2797, 1779]","[2421, 1594, 2586, 1671]",NL51YSU,0.25116119282302485
./data/sample.mp4,16,3.0,"[715, 1418, 1430, 2059]","[959, 1826, 1167, 1918]",NA13NRU,0.5667044857400712
./data/sample.mp4,17,1.0,"[2178, 1200, 2806, 1786]","[2423, 1597, 2593, 1687]",HU51VSU,0.1975209017436961
./data/sample.mp4,17,3.0,"[713, 1420, 1425, 2061]","[957, 1835, 1171, 1923]",NA13NRU,0.39146801405722664
./data/sample.mp4,18,3.0,"[713, 1423, 1422, 2065]","[935, 1831, 1181, 1933]",NA13NPU,0.3226182559317125
./data/sample.mp4,19,3.0,"[713, 1425, 1420, 2067]","[935, 1831, 1181, 1934]",NA13NPU,0.3226182559317125
